32
0	1491	1987	1293	1644	2011	1803	1658	1324	1594	1338	1958	1576	1078	1366	1836	1925	1400	1428	1582	1502	1415	1941	1098	1539	1264	1468	1558	1135	1590	1067	1631	
1491	0	1670	1699	1199	1870	1690	1240	1994	1906	1292	1669	1747	2038	1166	2000	1515	1610	1638	1220	1035	1643	1341	1446	1792	1236	2036	1153	1964	1260	1146	1741	
1987	1670	0	1368	1770	1387	1450	1552	1888	1626	1466	1219	1771	1578	1510	1708	1955	1599	1102	1192	1856	1928	1694	1784	1876	2009	1176	1030	1316	2018	1954	1683	
1293	1699	1368	0	1217	1989	1774	2028	1377	1209	1579	1816	1426	1845	1960	1284	1391	1182	1734	1882	1609	1342	1806	1897	1065	1890	1763	1634	1434	1357	1160	1733	
1644	1199	1770	1217	0	1874	1064	1346	1235	1575	1940	1905	1283	1724	1205	1265	1068	1288	1032	2006	1704	1448	1662	1462	1607	1095	1501	1302	1128	2005	1986	1633	
2011	1870	1387	1989	1874	0	1677	1416	1144	1115	1226	1464	1364	1956	1721	1793	1404	1507	1595	1532	1516	2041	1563	1058	1420	1325	1261	1963	1249	1973	2020	1936	
1803	1690	1450	1774	1064	1677	0	1919	2037	1430	1937	2002	1087	1720	1565	1028	1215	1116	1190	1453	1488	1259	1853	1512	1339	1183	1297	1244	1490	2015	1629	1433	
1658	1240	1552	2028	1346	1416	1919	0	1267	1837	1268	1813	1055	1736	1326	1475	1861	1899	1121	1829	1445	1533	1362	1753	2007	1791	1765	1812	1380	1653	1766	1262	
1324	1994	1888	1377	1235	1144	2037	1267	0	1440	1850	1755	1686	1048	1506	1566	1281	1327	1939	1131	1962	1255	1898	1540	1070	1767	1990	1218	1534	1904	1583	1728	
1594	1906	1626	1209	1575	1115	1430	1837	1440	0	2021	1286	1953	1162	1478	1210	1514	1074	1852	1234	1573	1168	1497	1130	1038	1250	1046	1761	1165	1185	1277	1318	
1338	1292	1466	1579	1940	1226	1937	1268	1850	2021	0	1702	1370	1463	1059	1679	1126	1489	1406	1385	1395	1844	1588	1203	1132	1088	1926	1500	1139	1076	1665	1779	
1958	1669	1219	1816	1905	1464	2002	1813	1755	1286	1702	0	1957	1710	1735	1303	1758	1716	1320	1351	1189	1270	1343	1374	1151	1600	2017	1691	1863	1272	1206	1073	
1576	1747	1771	1426	1283	1364	1087	1055	1686	1953	1370	1957	0	1482	1045	1706	1854	1298	1312	1859	1481	1675	1156	1069	1483	1998	1382	1526	1423	1685	1577	1457	
1078	2038	1578	1845	1724	1956	1720	1736	1048	1162	1463	1710	1482	0	1221	1061	1630	1108	1950	1195	2045	1538	1349	1344	1672	1985	1503	1900	1442	1693	2048	1355	
1366	1166	1510	1960	1205	1721	1565	1326	1506	1478	1059	1735	1045	1221	0	1750	1574	1306	1581	1517	1123	1348	1823	1449	1646	1084	1873	1567	1294	1296	1136	1929	
1836	2000	1708	1284	1265	1793	1028	1475	1566	1210	1679	1303	1706	1061	1750	0	1894	1247	1808	1228	1110	2008	1972	1026	1191	1208	1789	1496	1024	1050	1537	1992	
1925	1515	1955	1391	1068	1404	1215	1861	1281	1514	1126	1758	1854	1630	1574	1894	0	1971	1557	1140	1150	1397	1892	1177	1184	1230	1933	1147	1601	1826	1365	1551	
1400	1610	1599	1182	1288	1507	1116	1899	1327	1074	1489	1716	1298	1108	1306	1247	1971	0	1605	1127	1315	2013	1817	1196	1519	1788	1659	1798	1981	1923	1916	1804	
1428	1638	1102	1734	1032	1595	1190	1121	1939	1852	1406	1320	1312	1950	1581	1808	1557	1605	0	1159	1180	1689	2031	1167	1744	1657	1096	1484	1921	1256	1621	1636	
1582	1220	1192	1882	2006	1532	1453	1829	1131	1234	1385	1351	1859	1195	1517	1228	1140	1127	1159	0	1719	1713	1204	1332	1238	1214	1223	1752	1435	1117	1553	1399	
